Rank,Name,RegionNumber,RegionName,Meaning,Height,Latitude,Longitude,Climbed
239,"Sron a' Choire Ghairbh",10,"Loch Linnhe to Glen Shiel","Nose of the rough corrie",937,57.007301,-4.929485,false
240,"A' Bhuidheanach Bheag",5,"Loch Ericht to Drumochter","The little yellow place",936,56.870392,-4.199976,false
241,"Beinn na Lap",4,"Loch Linnhe to Loch Ericht","Mottled hill",935,56.788636,-4.660213,false
242,"Meall a' Chrasgaidh",14,"Loch Maree to Loch Broom","Hill of the crossing",934,57.712675,-5.050097,false
243,"Am Basteir",17,"The Islands","Obscure, but probably NOT the executioner",934,57.247914,-6.204041,false
244,"Fionn Bheinn",14,"Loch Maree to Loch Broom","Pale-coloured hill",933,57.610712,-5.103505,false
245,"Maol Chean-dearg",13,"Glen Carron to Loch Maree","Bald red head",933,57.49162,-5.465642,false
246,"The Cairnwell",6,"Drumochter to Glen Shee","From Gaelic Carn Bhalg, hill of bags",933,56.878972,-3.422593,false
247,"Beinn Chabhair",1,"Loch Fyne to Loch Tay","Possibly hill of the hawk",933,56.325253,-4.642434,true
248,"Meall Buidhe",2,"Loch Tay to Rannoch Moor","Yellow hill",932,56.616815,-4.449246,false
249,"Ben Chonzie (Ben-y-Hone)",1,"Loch Fyne to Loch Tay","Probably mossy hill",931,56.453338,-3.992424,true
250,"Beinn Bhreac",8,"Deeside to Speyside - The Cairngorms","Speckled hill",931,57.055294,-3.554638,false
251,"A' Chailleach",9,"Speyside to Great Glen","The old woman",930,57.108879,-4.179417,false
252,"Meall nan Eun",3,"Rannoch Moor to Loch Linnhe","Hill of the birds",928,56.561149,-4.943724,false
253,"Bla Bheinn (Blaven)",17,"The Islands","Blue hill, or possibly warm hill",928,57.219159,-6.094675,false
254,"Mayar",7,"Glen Shee to Glen Esk","Meaning obscure",928,56.848499,-3.247637,false
255,"Moruisg",12,"Loch Mullardoch to Glen Carron","Big water",928,57.499382,-5.170842,false
256,"Ben Hope",16,"Loch Broom to the Pentland Firth","Hill of the bay",927,58.412655,-4.608674,false
257,"Eididh nan Clach Geala",15,"Loch Broom to the Cromarty Firth","Web of the white stones",927,57.813343,-4.935668,false
258,"Meall a Choire Leith",2,"Loch Tay to Rannoch Moor","Hill of the grey corrie",926,56.566471,-4.260425,false
259,"Seana Bhraigh",15,"Loch Broom to the Cromarty Firth","Old upper part",926,57.846565,-4.897922,false
260,"Beinn Liath Mhor",13,"Glen Carron to Loch Maree","Big grey hill",926,57.511368,-5.400703,false
261,"Beinn Narnain",1,"Loch Fyne to Loch Tay","Unknown",926,56.220445,-4.790082,true
262,"Geal Charn",9,"Speyside to Great Glen","White hill",926,57.056813,-4.374261,false
263,"Buachaille Etive Beag, Stob Coire Raineach",3,"Rannoch Moor to Loch Linnhe","Ferny corrie peak",925,56.649932,-4.952276,true
264,"Creag Pitridh",4,"Loch Linnhe to Loch Ericht","Meaning uncertain, perhaps from the surname Petrie",924,56.899179,-4.485772,false
265,"Sgurr nan Eag",17,"The Islands","Peak of the notches",924,57.195511,-6.211327,false
266,"An Coileachan",14,"Loch Maree to Loch Broom","The little cock",923,57.6674,-4.950691,false
267,"Sgurr nan Each",14,"Loch Maree to Loch Broom","Peak of the horses",923,57.680385,-5.047382,false
268,"Tom na Gruagaich (Beinn Alligin)",13,"Glen Carron to Loch Maree","Hill of the maiden",922,57.580039,-5.582834,false
269,"Sgiath Chuil",2,"Loch Tay to Rannoch Moor","Back wing",921,56.452296,-4.497069,false
270,"An Socach",11,"Glen Shiel to Loch Mullardoch","The snout",921,57.257574,-5.171583,false
271,"Carn Sgulain",9,"Speyside to Great Glen","Hill of the basket, or of the old man",920,57.124196,-4.177013,false
272,"Ruadh Stac Mor",14,"Loch Maree to Loch Broom","Big red peak",919,57.726287,-5.330134,false
273,"Gairich",10,"Loch Linnhe to Glen Shiel","Roaring",919,57.04414,-5.257247,false
274,"Sgurr a' Mhadaidh",17,"The Islands","Peak of the fox",918,57.230733,-6.233588,false
275,"Creag nan Damh",10,"Loch Linnhe to Glen Shiel","Rock of the stags",918,57.146349,-5.335688,false
276,"Meall na Teanga",10,"Loch Linnhe to Glen Shiel","Hill of the tongue",918,56.988384,-4.931291,false
277,"A' Ghlas-bheinn",11,"Glen Shiel to Loch Mullardoch","The greenish-grey hill",918,57.25416,-5.30397,false
278,"Geal-charn",5,"Loch Ericht to Drumochter","White hill",917,56.873886,-4.305209,false
279,"Ben Vane",1,"Loch Fyne to Loch Tay","Middle hill",916,56.249379,-4.782501,true
280,"Beinn a' Chleibh",1,"Loch Fyne to Loch Tay","Hill of the creel or chest",916,56.390169,-4.83652,false
281,"Carn Aosda",6,"Drumochter to Glen Shee","Hill of age",915,56.896035,-3.423242,false
282,"Beinn Teallach",9,"Speyside to Great Glen","Forge hill",915,56.935276,-4.695309,false
